Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
4,1,2016,Karnataka,34.75,31.5,27.25,69.25,156.67,162.5,104.25,85,32,33.33,105,121.5,64.25,71.67,82.5,53.75,37.5,196.75,11.25,21.5,24.75,30.67
4,1,2016,Kerala,32,32.17,33.83,66.67,163,161,109.5,88.83,31.17,38.33,131,133.83,91.83,,97.83,69,46,157.17,11.83,26.17,27.5,40
4,1,2016,Madhya Pradesh,25.33,17.17,20.17,62.33,133.5,126.83,97.67,76.17,33,38.83,122.83,98,66.17,69.67,91.5,59.2,34.83,226,14.33,11.67,19.67,24.17
4,1,2016,Maharashtra,28.5,26.5,29,70.5,146.5,154.5,115,83,30,36,115.5,103,84.5,85.5,91,67,45,235,17,20,25,30
4,1,2016,Meghalaya,21,27,26,75,135,130,115,96,34,60,120,100,49,89,122,96,,200,20,12,38,35
4,1,2016,Odisha,24.5,21,23,64.25,133.25,128.75,97.75,73,34.5,34,,112.75,54,80.5,92.25,63.25,37,180,17,12.25,22.5,27.5
4,1,2016,Puducherry,28,32,26,72,160,160,115,90,32,36,123,119,82,,86,54,45,250,17,20,22,36
4,1,2016,Punjab,27.67,18,21.33,67.33,157.33,142.33,104.67,98,34.67,42.67,143.67,110,76,87.33,104,60,41,200,17.33,9,20.33,31.67
4,1,2016,Rajasthan,26,18.5,22,63.5,137.5,135,93,84,32,34.5,121.5,92,58.5,78.5,96,85,30.5,175,15.5,8,14.5,22.5
4,1,2016,Tamil Nadu,29.6,31.4,27.5,71.4,151.6,160.2,107.2,90.5,34.4,36,127.8,137,82,88,92,59,45,216,16.6,21.4,23,41.4
4,1,2016,Telangana,27.33,27.17,29,65.33,155.33,158.83,113.17,83.83,29.83,39.83,113.33,112.25,68.33,86.33,89.67,59.67,42,182,13,20.33,25.17,38.17
4,1,2016,Tripura,29,,26,70,,105,109,107,36,40,,137,70,81,,,46,178,19,22,31,38
4,1,2016,Uttar Pradesh,22.25,17.88,20.75,67.75,143.13,124,109.38,81.75,33.43,45.25,120.4,111.71,67.5,,,,35.25,227.14,16.38,9,22.38,26.63
4,1,2016,Uttarakhand,22.5,20.75,22,70.5,140.5,121.25,113.75,102.25,31.5,38,133.75,93.25,77.5,84.5,107,,35,221.25,17,14.75,24.75,30.5
4,1,2016,West Bengal,29,20,22.5,71.5,142.5,114,109.5,89,35.5,34,136,120,67,78.5,98,63,39,131,9.5,11.5,27.5,21.5
5,1,2016,Average Price,27.18,22.88,24.47,67.55,146.9,139.03,105.58,84.71,32.71,39.68,123.73,111.84,71.09,80.41,95.28,62.06,40.09,204.31,15.08,15.18,22.83,31.41
5,1,2016,Maximum Price,40,36,46,80,180,180,130,107,42,65,161,151,120,98,142,85,120,360,20,35,36,50
5,1,2016,Minimum Price,19,15,19,56,114,90,76,68,26,28,72,80,47,60,77,50,26,122,6,6,11,14
5,1,2016,Modal Price,30,18,22,70,160,120,100,70,30,39,135,100,75,77.5,105,58,35,180,17,12,25,30
5,1,2016,Andaman and Nicobar,36,27,46,78,146,158,99,89,42,53,,139,120,,126,69,54,208,16,20,36,50
5,1,2016,Andhra Pradesh,28,26,27,72,160,163,118,90,29,39,113,109,74,,89,59,46,183,12,17,22,25
5,1,2016,Assam,24,23,25,66,114,134,97,85,35,44,,80,64,75,,,36,130,6,15,25,30
5,1,2016,Bihar,23.33,17.33,20,65,140.33,138.33,96.67,72.67,31.67,37,,106.67,55.33,84.67,121.5,61.67,33.33,230,12.67,9.33,17.67,25.33
5,1,2016,Chandigarh,28,18,22,65,145,125,100,85,32,44,122,100,72,86,100,,35,225,17,10,18,28
5,1,2016,Chhattisgarh,21,24,27,70,142,126,100,72,36,38,120,96,64,80,90,65,36,180,9,14,22,30
5,1,2016,Delhi,29,19,21,73,159,144,104,95,34,38,147,138,76,86,105,,44,201,17,13,29,43
5,1,2016,Gujarat,24.75,20.5,23.5,70.5,132,143.75,105,75,29.5,46.5,110.25,91.25,58.25,75.25,84.5,56.25,44.25,276,16.5,12.5,21.5,24.25
5,1,2016,Haryana,26.5,17.75,21.25,64.25,159.75,128.25,96.75,82.5,31.75,45.5,122.75,100.5,73,83,97,71,38.25,180,17.75,12.75,23.25,31.25
5,1,2016,Himachal Pradesh,30,20,21.5,72.5,162,137.75,102.25,89.25,32.75,33,133,145.25,77,78.75,94,63.5,34,178.75,17.5,10.75,20.75,35.75
5,1,2016,Jharkhand,29,22,22,70,140,140,115,76,34,38,132,122,60,80,95,65,35,260,18,14,20,20
5,1,2016,Karnataka,34.75,31.5,27.25,69.25,156.67,162.5,104.25,85,32,35.5,105,121.5,64.25,71.67,82.5,53.75,37.5,196.75,11.25,21.5,23.25,38.25
5,1,2016,Kerala,32,32.17,33.83,66.33,161.67,159.17,109.5,88.5,31.67,38.33,131,133.83,91.83,,97.83,69,46,157.17,11.83,26.17,27.5,41.5
5,1,2016,Madhya Pradesh,25.17,17.17,20.17,62.17,134.33,127.67,97.67,76,33,38.83,122.83,98,66.17,69.67,91.5,59.2,34.83,226,14.33,12,19.67,25.83
5,1,2016,Maharashtra,28.5,26.5,29,70.5,147,154.5,115,82.5,30,36,115.5,103,85.5,84.5,91,67,45,235,17,20,24,31
5,1,2016,Mizoram,40,,25,,,90,120,107,40,65,,109,,98,93,,120,360,20,35,,
5,1,2016,Odisha,24.5,21,23,64.25,134.25,129.25,97.5,73,35,34,,112.75,54,80.5,92.25,62.75,36.5,180,17,12.25,22,25
5,1,2016,Puducherry,28,32,26,72,160,160,115,90,32,36,123,119,82,,86,54,45,250,17,20,22,34
5,1,2016,Punjab,27.67,18,21.33,66,154,135.67,106.33,98,35,42.67,143.67,107.33,75.33,87,104.67,60,42,200,17.33,9,21.33,30.67
5,1,2016,Rajasthan,26.33,18.33,21.33,62.33,131.67,128.67,95.33,86,32,33,119.33,94.67,62.33,82.33,99,85,30.33,190,15.67,9.33,18,20.33
5,1,2016,Tamil Nadu,29.5,31.75,27.5,71.75,151.5,161.5,107.5,90.5,34.25,36.25,128.75,137,80.25,88,91.75,58.75,45.75,215,17,21.25,22.75,41
5,1,2016,Telangana,27.33,27.17,29,65.33,153.33,158.83,113.17,83.83,29.83,39.83,113.33,112.25,68.33,86.33,89.67,59.67,42,182,13,20.33,25.17,38.17
5,1,2016,Tripura,29,,26,70,,105,109,107,36,40,,137,70,81,,,46,178,19,22,31,38
5,1,2016,Uttar Pradesh,22.13,17.75,20.5,67.29,145,123.57,110.43,79.57,33.5,45,120.5,111.29,67.29,,,,35.38,228.57,16.29,8.63,21.13,27.25
5,1,2016,Uttarakhand,22.5,20.75,22,70.5,140.5,121.25,113.75,102.25,31.5,38,133.75,93.25,77.5,84.5,107,,35,221.25,17,14.75,24.75,30.5
5,1,2016,West Bengal,29,20,22.5,71.5,142.5,114,109.5,89,35.5,34,136,120,67,78.5,98,63,39,131,9.5,11.5,27.5,21.5
